params,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,PCA,SOD,DeepSVDD,DAGMM,MostNaive,DeepDataDepthAnomalyDetector
"('SVHN_8', 1.0, 1)",,,,,,,,,,,,,,,,
"('SVHN_7', 0.0, 1)",0.5716064757160648,0.571193621744545,,,,,,,,,,,,,,
"('SVHN_7', 0.01, 1)",,,,,,,,,,,,,,,,
"('SVHN_7', 0.05, 1)",,,,,,,,,,,,,,,,
"('SVHN_7', 0.1, 1)",,,,,,,,,,,,,,,,
"('SVHN_7', 0.25, 1)",,,,,,,,,,,,,,,,
"('SVHN_7', 0.5, 1)",,,,,,,,,,,,,,,,
"('SVHN_7', 0.75, 1)",,,,,,,,,,,,,,,,
"('SVHN_7', 1.0, 1)",,,,,,,,,,,,,,,,
"('SVHN_6', 0.0, 1)",0.5228168832008273,0.5300820890698728,0.5288087389309031,0.5145433391506691,0.5267855988623877,0.5262491112403852,0.5239803503328808,0.5209165535518065,0.5290220412384461,0.5314071488591559,0.5288022752246138,0.5238510762070971,0.5338116475987331,0.5257255510309612,0.5283368883717924,0.5296167022170513
"('SVHN_6', 0.01, 1)",,,,,,,,,,,,,,,,
"('SVHN_6', 0.05, 1)",,,,,,,,,,,,,,,,
"('SVHN_6', 0.1, 1)",,,,,,,,,,,,,,,,
"('SVHN_6', 0.25, 1)",,,,,,,,,,,,,,,,
"('SVHN_6', 0.5, 1)",,,,,,,,,,,,,,,,
"('SVHN_6', 0.75, 1)",,,,,,,,,,,,,,,,
"('SVHN_6', 1.0, 1)",,,,,,,,,,,,,,,,
"('FashionMNIST_7', 0.0, 1)",0.9670116959064327,0.9726432748538012,0.9706842105263158,0.6358421052631579,0.9676140350877193,0.9736959064327485,0.9719590643274854,0.9450584795321637,0.9082865497076023,0.5346959064327486,0.9723216374269006,0.9320526315789475,0.7075906432748539,0.7679473684210527,0.9706140350877193,0.9724707602339182
"('FashionMNIST_7', 0.01, 1)",,,,,,,,,,,,,,,,
"('FashionMNIST_7', 0.05, 1)",,,,,,,,,,,,,,,,
"('FashionMNIST_7', 0.1, 1)",,,,,,,,,,,,,,,,
"('FashionMNIST_7', 0.25, 1)",,,,,,,,,,,,,,,,
"('FashionMNIST_7', 0.5, 1)",,,,,,,,,,,,,,,,
"('FashionMNIST_7', 0.75, 1)",,,,,,,,,,,,,,,,
"('FashionMNIST_7', 1.0, 1)",,,,,,,,,,,,,,,,
"('FashionMNIST_2', 0.0, 1)",0.9244678362573099,0.9270058479532163,0.9353274853801169,0.6221052631578947,0.9176081871345029,0.928140350877193,0.9239181286549708,0.8728538011695907,0.8977836257309941,0.5571228070175438,0.928812865497076,0.8332690058479533,0.6186783625730994,0.7477894736842106,0.924625730994152,0.9313391812865497
"('FashionMNIST_2', 0.01, 1)",,,,,,,,,,,,,,,,
"('FashionMNIST_2', 0.05, 1)",,,,,,,,,,,,,,,,
"('FashionMNIST_2', 0.1, 1)",,,,,,,,,,,,,,,,
"('FashionMNIST_2', 0.25, 1)",,,,,,,,,,,,,,,,
"('FashionMNIST_2', 0.5, 1)",,,,,,,,,,,,,,,,
"('FashionMNIST_2', 0.75, 1)",,,,,,,,,,,,,,,,
"('FashionMNIST_2', 1.0, 1)",,,,,,,,,,,,,,,,
