params,DeepDataDepthAnomalyDetector
"('FashionMNIST_9', 0.1, 1)",
"('FashionMNIST_9', 0.25, 1)",
"('FashionMNIST_9', 0.5, 1)",
"('FashionMNIST_9', 0.75, 1)",
"('FashionMNIST_9', 1.0, 1)",
"('FashionMNIST_5', 0.0, 1)",0.9027017543859649
"('FashionMNIST_5', 0.01, 1)",
"('FashionMNIST_5', 0.05, 1)",
"('FashionMNIST_5', 0.1, 1)",
"('FashionMNIST_5', 0.25, 1)",
"('FashionMNIST_5', 0.5, 1)",
"('FashionMNIST_5', 0.75, 1)",
"('FashionMNIST_5', 1.0, 1)",
"('FashionMNIST_7', 0.0, 1)",0.8957660818713451
"('FashionMNIST_7', 0.01, 1)",
"('FashionMNIST_7', 0.05, 1)",
"('FashionMNIST_7', 0.1, 1)",
"('FashionMNIST_7', 0.25, 1)",
"('FashionMNIST_7', 0.5, 1)",
"('FashionMNIST_7', 0.75, 1)",
"('FashionMNIST_7', 1.0, 1)",
"('FashionMNIST_0', 0.0, 1)",0.7519298245614036
"('FashionMNIST_0', 0.01, 1)",
"('FashionMNIST_0', 0.05, 1)",
"('FashionMNIST_0', 0.1, 1)",
"('FashionMNIST_0', 0.25, 1)",
"('FashionMNIST_0', 0.5, 1)",
"('FashionMNIST_0', 0.75, 1)",
"('FashionMNIST_0', 1.0, 1)",
"('FashionMNIST_1', 0.0, 1)",0.8507660818713448
"('FashionMNIST_1', 0.01, 1)",
"('FashionMNIST_1', 0.05, 1)",
"('FashionMNIST_1', 0.1, 1)",
"('FashionMNIST_1', 0.25, 1)",
"('FashionMNIST_1', 0.5, 1)",
"('FashionMNIST_1', 0.75, 1)",
"('FashionMNIST_1', 1.0, 1)",
"('FashionMNIST_8', 0.0, 1)",0.5784327485380117
"('FashionMNIST_8', 0.01, 1)",
"('FashionMNIST_8', 0.05, 1)",
"('FashionMNIST_8', 0.1, 1)",
"('FashionMNIST_8', 0.25, 1)",
"('FashionMNIST_8', 0.5, 1)",
"('FashionMNIST_8', 0.75, 1)",
"('FashionMNIST_8', 1.0, 1)",
"('FashionMNIST_4', 0.0, 1)",0.7456842105263158
"('FashionMNIST_4', 0.01, 1)",
"('FashionMNIST_4', 0.05, 1)",
"('FashionMNIST_4', 0.1, 1)",
"('FashionMNIST_4', 0.25, 1)",
"('FashionMNIST_4', 0.5, 1)",
"('FashionMNIST_4', 0.75, 1)",
"('FashionMNIST_4', 1.0, 1)",
"('FashionMNIST_2', 0.0, 1)",0.7634795321637428
"('FashionMNIST_2', 0.01, 1)",
"('FashionMNIST_2', 0.05, 1)",
"('FashionMNIST_2', 0.1, 1)",
"('FashionMNIST_2', 0.25, 1)",
"('FashionMNIST_2', 0.5, 1)",
"('FashionMNIST_2', 0.75, 1)",
"('FashionMNIST_2', 1.0, 1)",
"('FashionMNIST_3', 0.0, 1)",0.7135555555555555
"('FashionMNIST_3', 0.01, 1)",
"('FashionMNIST_3', 0.05, 1)",
"('FashionMNIST_3', 0.1, 1)",
"('FashionMNIST_3', 0.25, 1)",
"('FashionMNIST_3', 0.5, 1)",
"('FashionMNIST_3', 0.75, 1)",
"('FashionMNIST_3', 1.0, 1)",
"('FashionMNIST_6', 0.0, 1)",0.5477719298245614
"('FashionMNIST_6', 0.01, 1)",
"('FashionMNIST_6', 0.05, 1)",
"('FashionMNIST_6', 0.1, 1)",
"('FashionMNIST_6', 0.25, 1)",
"('FashionMNIST_6', 0.5, 1)",
"('FashionMNIST_6', 0.75, 1)",
"('FashionMNIST_6', 1.0, 1)",
"('19_landsat', 0.0, 1)",0.42075767472240366
"('19_landsat', 0.01, 1)",
"('19_landsat', 0.05, 1)",
"('19_landsat', 0.1, 1)",
"('19_landsat', 0.25, 1)",
"('19_landsat', 0.5, 1)",
"('19_landsat', 0.75, 1)",
"('19_landsat', 1.0, 1)",
"('30_satellite', 0.0, 1)",0.570712443584784
"('30_satellite', 0.01, 1)",
"('30_satellite', 0.05, 1)",
"('30_satellite', 0.1, 1)",
"('30_satellite', 0.25, 1)",
"('30_satellite', 0.5, 1)",
"('30_satellite', 0.75, 1)",
"('30_satellite', 1.0, 1)",
"('28_pendigits', 0.0, 1)",0.9463859367406875
"('28_pendigits', 0.01, 1)",
"('28_pendigits', 0.05, 1)",
"('28_pendigits', 0.1, 1)",
"('28_pendigits', 0.25, 1)",
"('28_pendigits', 0.5, 1)",
"('28_pendigits', 0.75, 1)",
"('28_pendigits', 1.0, 1)",
"('2_annthyroid', 0.0, 1)",0.63863125
"('2_annthyroid', 0.01, 1)",
"('2_annthyroid', 0.05, 1)",
"('2_annthyroid', 0.1, 1)",
"('2_annthyroid', 0.25, 1)",
"('2_annthyroid', 0.5, 1)",
"('2_annthyroid', 0.75, 1)",
"('2_annthyroid', 1.0, 1)",
"('SVHN_5', 0.0, 1)",0.5955750049981118
"('SVHN_5', 0.01, 1)",
"('SVHN_5', 0.05, 1)",
"('SVHN_5', 0.1, 1)",
"('SVHN_5', 0.25, 1)",
"('SVHN_5', 0.5, 1)",
"('SVHN_5', 0.75, 1)",
"('SVHN_5', 1.0, 1)",
"('24_mnist', 0.0, 1)",0.7121760824078545
"('24_mnist', 0.01, 1)",
"('24_mnist', 0.05, 1)",
"('24_mnist', 0.1, 1)",
"('24_mnist', 0.25, 1)",
"('24_mnist', 0.5, 1)",
"('24_mnist', 0.75, 1)",
"('24_mnist', 1.0, 1)",
"('SVHN_4', 0.0, 1)",0.5440094557632422
"('SVHN_4', 0.01, 1)",
"('SVHN_4', 0.05, 1)",
"('SVHN_4', 0.1, 1)",
"('SVHN_4', 0.25, 1)",
"('SVHN_4', 0.5, 1)",
"('SVHN_4', 0.75, 1)",
"('SVHN_4', 1.0, 1)",
"('SVHN_3', 0.0, 1)",0.5765291191103307
"('SVHN_3', 0.01, 1)",
"('SVHN_3', 0.05, 1)",
"('SVHN_3', 0.1, 1)",
"('SVHN_3', 0.25, 1)",
