params,MostNaive
"('SVHN_7', 1.0, 1)",
"('SVHN_6', 0.0, 1)",0.530547475922694
"('SVHN_6', 0.01, 1)",
"('SVHN_6', 0.05, 1)",
"('SVHN_6', 0.1, 1)",
"('SVHN_6', 0.25, 1)",
"('SVHN_6', 0.5, 1)",
"('SVHN_6', 0.75, 1)",
"('SVHN_6', 1.0, 1)",
"('FashionMNIST_9', 0.0, 1)",0.9421578947368421
"('FashionMNIST_9', 0.01, 1)",
"('FashionMNIST_9', 0.05, 1)",
"('FashionMNIST_9', 0.1, 1)",
"('FashionMNIST_9', 0.25, 1)",
"('FashionMNIST_9', 0.5, 1)",
"('FashionMNIST_9', 0.75, 1)",
"('FashionMNIST_9', 1.0, 1)",
"('FashionMNIST_5', 0.0, 1)",0.9340994152046783
"('FashionMNIST_5', 0.01, 1)",
"('FashionMNIST_5', 0.05, 1)",
"('FashionMNIST_5', 0.1, 1)",
"('FashionMNIST_5', 0.25, 1)",
"('FashionMNIST_5', 0.5, 1)",
"('FashionMNIST_5', 0.75, 1)",
"('FashionMNIST_5', 1.0, 1)",
"('FashionMNIST_7', 0.0, 1)",0.9447602339181287
"('FashionMNIST_7', 0.01, 1)",
"('FashionMNIST_7', 0.05, 1)",
"('FashionMNIST_7', 0.1, 1)",
"('FashionMNIST_7', 0.25, 1)",
"('FashionMNIST_7', 0.5, 1)",
"('FashionMNIST_7', 0.75, 1)",
"('FashionMNIST_7', 1.0, 1)",
"('FashionMNIST_0', 0.0, 1)",0.8597660818713451
"('FashionMNIST_0', 0.01, 1)",
"('FashionMNIST_0', 0.05, 1)",
"('FashionMNIST_0', 0.1, 1)",
"('FashionMNIST_0', 0.25, 1)",
"('FashionMNIST_0', 0.5, 1)",
"('FashionMNIST_0', 0.75, 1)",
"('FashionMNIST_0', 1.0, 1)",
"('FashionMNIST_1', 0.0, 1)",0.9381111111111111
"('FashionMNIST_1', 0.01, 1)",
"('FashionMNIST_1', 0.05, 1)",
"('FashionMNIST_1', 0.1, 1)",
"('FashionMNIST_1', 0.25, 1)",
"('FashionMNIST_1', 0.5, 1)",
"('FashionMNIST_1', 0.75, 1)",
"('FashionMNIST_1', 1.0, 1)",
"('FashionMNIST_8', 0.0, 1)",0.7329005847953217
"('FashionMNIST_8', 0.01, 1)",
"('FashionMNIST_8', 0.05, 1)",
"('FashionMNIST_8', 0.1, 1)",
"('FashionMNIST_8', 0.25, 1)",
"('FashionMNIST_8', 0.5, 1)",
"('FashionMNIST_8', 0.75, 1)",
"('FashionMNIST_8', 1.0, 1)",
"('FashionMNIST_4', 0.0, 1)",0.8116725146198831
"('FashionMNIST_4', 0.01, 1)",
"('FashionMNIST_4', 0.05, 1)",
"('FashionMNIST_4', 0.1, 1)",
"('FashionMNIST_4', 0.25, 1)",
"('FashionMNIST_4', 0.5, 1)",
"('FashionMNIST_4', 0.75, 1)",
"('FashionMNIST_4', 1.0, 1)",
"('FashionMNIST_2', 0.0, 1)",0.7943157894736843
"('FashionMNIST_2', 0.01, 1)",
"('FashionMNIST_2', 0.05, 1)",
"('FashionMNIST_2', 0.1, 1)",
"('FashionMNIST_2', 0.25, 1)",
"('FashionMNIST_2', 0.5, 1)",
"('FashionMNIST_2', 0.75, 1)",
"('FashionMNIST_2', 1.0, 1)",
"('FashionMNIST_3', 0.0, 1)",0.8515087719298245
"('FashionMNIST_3', 0.01, 1)",
"('FashionMNIST_3', 0.05, 1)",
"('FashionMNIST_3', 0.1, 1)",
"('FashionMNIST_3', 0.25, 1)",
"('FashionMNIST_3', 0.5, 1)",
"('FashionMNIST_3', 0.75, 1)",
"('FashionMNIST_3', 1.0, 1)",
"('FashionMNIST_6', 0.0, 1)",0.6795906432748537
"('FashionMNIST_6', 0.01, 1)",
"('FashionMNIST_6', 0.05, 1)",
"('FashionMNIST_6', 0.1, 1)",
"('FashionMNIST_6', 0.25, 1)",
